facility_id,facility_name,facility_type,district,latitude,longitude,gwl_value,rainfall_value,river_level_value,temperature_value,humidity_value,wind_speed_value,dist_to_river_km,rolling_rain_3d,river_anomaly,heat_stress,moisture_risk,storm_risk,storage_flag,crs,risk_level,last_updated,load_stress,water_availability,flood_safety,rainfall_stability,electricity_reliability
node/6965836192,K.M. Hospital,Hospital,RAIPUR,21.2438524,81.6384199,-6.336,0.5,277.637,20.5,76.37,40.0,17.33382416932682,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965836197,M. M. Hospital,Hospital,RAIPUR,21.2605318,81.6367264,-6.336,0.5,277.637,20.5,76.37,40.0,19.012641097855983,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965836202,Mahadev Hospital,Hospital,RAIPUR,21.2294448,81.597827,-6.336,0.5,277.637,20.5,76.37,40.0,14.6777653248017,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965836211,Mishra Speciality Hospital,Hospital,RAIPUR,21.2615844,81.6380407,-6.336,0.5,277.637,20.5,76.37,40.0,19.167923827983326,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965836216,Matra Smriti Hospital,Hospital,RAIPUR,21.2686163,81.6197897,-6.336,0.5,277.637,20.5,76.37,40.0,19.38858153187538,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6965836221,M D Hospital and Iccu,Hospital,RAIPUR,21.2465873,81.6236986,-6.336,0.5,277.637,20.5,76.37,40.0,17.123877637186084,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6966522779,Mgm Eye Hospital,Hospital,RAIPUR,21.2783101,81.7026642,-6.336,1.0,286.786,20.5,76.37,40.0,21.34620195383137,1.0,-2.375158372318481,0,0,0,1,0.4012286510979435,Medium,2026-03-14 02:31:42,22.650749390031365,-6.336,-286.786,-2.375158372318481,1.0
node/6966551463,Suprita Hospital,Hospital,RAIPUR,21.2564347,81.6388497,-6.336,0.5,277.637,20.5,76.37,40.0,18.657167974361865,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6966792004,Evangelical Mission Hospital,Hospital,RAIPUR,21.5540159,81.7903335,-6.495,1.0,286.786,20.5,76.37,40.0,18.08791782006789,1.0,-2.375158372318481,0,0,0,1,0.3943011502265597,High,2026-03-14 02:31:42,22.082694318577897,-6.495,-286.786,-2.375158372318481,1.0
node/6966792010,Lifeworth Super Speciality Hospital,Hospital,RAIPUR,21.2456986,81.6175885,-6.336,0.5,277.637,20.5,76.37,40.0,16.859710436877236,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6966904907,Shri Manulal Memorial Medical Centre,Hospital,RAIPUR,21.2363311,81.6213289,-6.336,0.5,277.637,20.5,76.37,40.0,15.960819118288116,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6966904930,"Sahu Hospital, Raipur",Hospital,RAIPUR,21.2554704,81.6406797,-6.336,0.5,277.637,20.5,76.37,40.0,18.62301538699008,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6966904976,Agrasen Hospital,Hospital,RAIPUR,21.2454224,81.6245992,-6.336,0.5,277.637,20.5,76.37,40.0,17.026556649304872,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6968263373,Pt.J N M Medical College Hospital,Hospital,RAIPUR,21.251975,81.6391427,-6.336,0.5,277.637,20.5,76.37,40.0,18.203117842261094,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6968280740,"Kanwar Hospital, Raipur",Hospital,RAIPUR,21.2532719,81.6651843,-6.336,0.5,277.637,20.5,76.37,40.0,19.452548134440175,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6968280745,Raipur Hospital,Hospital,RAIPUR,21.2468461,81.6415286,-6.336,0.5,277.637,20.5,76.37,40.0,17.762780193182486,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6968280774,"Sanjeewan Hospital, Raipur",Hospital,RAIPUR,21.2208074,81.6410136,-6.336,0.5,277.637,20.5,76.37,40.0,15.097189859494582,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/6968280856,Arihant Netralaya,Hospital,RAIPUR,21.2359599,81.6381209,-6.336,0.5,277.637,20.5,76.37,40.0,16.50899413718063,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
node/7148125099,Govt. T.B. Hospital,Hospital,RAIPUR,21.2346921,81.6389363,-6.336,0.5,277.637,20.5,76.37,40.0,16.41187561678426,1.0,-2.375158372318481,0,0,0,1,0.4781826078822488,Medium,2026-03-14 02:31:42,28.9609738463444,-6.336,-277.637,-2.375158372318481,1.0
