facility_id,facility_name,facility_type,district,crs,risk_level,last_updated
node/7288964602,Madhumeet Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964603,Shri Krishna Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964610,Raipura Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964613,Awasthi Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964616,Om Superspeciality Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964641,Kankali Hospital Parisar,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964642,Anjali Children Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964673,Shri Jagannath Multispeciality Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964648,District Police Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964653,Dr Manoj Agrwal,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964658,Avanti Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964676,Gayatri Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964666,Life Line Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964679,Vijaya durga hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/4445182024,Holy cross senior secondary school,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7736593775,Shri Venkatesh School,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/8322190354,Daffodils English School,School,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964683,Dr Nigam Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964681,Rajdhani Super Speciality Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7291844243,Virdi Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7291844245,DKS Super Speciality Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7291844258,Mamta Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7288964686,Shubham Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7291844275,Shri Mahaveer Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7291844281,Lotus Hospital & Advance Urology Center,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7291844299,Chand Rani Sardari Lal Speciality EYE And ENT Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7291844302,Petals Newborn And Children Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7291844307,Shashwat Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7291844314,Sagar Multi Speciality Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7291844320,Sankalp Hospital,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7291844264,"Om Hospital , Burn Plastic & Cosmetic Surgery Center",Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/10939721749,A.S.M DENTAL CLINIC,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/10939807399,Shreevedam Dental and Aryuvedic Clinic,Hospital,RAIPUR,0.47818260788224887,Medium,2026-03-14 02:31:42
node/7148125111,Government Hospital Farfoud,Hospital,RAIPUR,0.625,Medium,2026-03-14 02:31:42
node/4994374903,primary government hospital Bangoli,Hospital,RAIPUR,0.625,Medium,2026-03-14 02:31:42
