facility_id,facility_name,facility_type,district,latitude,longitude,type_multiplier,pred_outage_prob_24h,crs,risk_level,priority_score,predicted_risk_label
node/7288964595,Shri Balaji Hospital,Hospital,RAIPUR,21.2261487,81.6397097,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964599,Jeevan Anmol Hospital,Hospital,RAIPUR,21.2250565,81.6531985,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964602,Madhumeet Hospital,Hospital,RAIPUR,21.2401655,81.6698864,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964603,Shri Krishna Hospital,Hospital,RAIPUR,21.223641,81.660207,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964610,Raipura Hospital,Hospital,RAIPUR,21.2321504,81.6035435,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964613,Awasthi Hospital,Hospital,RAIPUR,21.231624,81.6540067,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964616,Om Superspeciality Hospital,Hospital,RAIPUR,21.2292542,81.5986728,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964641,Kankali Hospital Parisar,Hospital,RAIPUR,21.23854,81.62784,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964642,Anjali Children Hospital,Hospital,RAIPUR,21.22115,81.649675,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964644,We Care Super Specialty Hospital,Hospital,RAIPUR,21.235399,81.668942,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964648,District Police Hospital,Hospital,RAIPUR,21.2307216,81.6449518,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964653,Dr Manoj Agrwal,Hospital,RAIPUR,21.2437894,81.6504829,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964658,Avanti Hospital,Hospital,RAIPUR,21.2408235,81.6696319,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964664,Anand Shree Hospital,Hospital,RAIPUR,21.233519,81.604322,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964666,Life Line Hospital,Hospital,RAIPUR,21.2328853,81.605519,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964673,Shri Jagannath Multispeciality Hospital,Hospital,RAIPUR,21.22998,81.600057,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964676,Gayatri Hospital,Hospital,RAIPUR,21.239345,81.6038105,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964679,Vijaya durga hospital,Hospital,RAIPUR,21.235824,81.63491,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964681,Rajdhani Super Speciality Hospital,Hospital,RAIPUR,21.2190325,81.6483451,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964683,Dr Nigam Hospital,Hospital,RAIPUR,21.2350371,81.6517301,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7288964686,Shubham Hospital,Hospital,RAIPUR,21.23422,81.610285,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7291844243,Virdi Hospital,Hospital,RAIPUR,21.2496368,81.628347,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7291844245,DKS Super Speciality Hospital,Hospital,RAIPUR,21.2449632,81.6412379,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7291844258,Mamta Hospital,Hospital,RAIPUR,21.246905,81.631597,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7291844264,"Om Hospital , Burn Plastic & Cosmetic Surgery Center",Hospital,RAIPUR,21.2451108,81.6301308,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7291844275,Shri Mahaveer Hospital,Hospital,RAIPUR,21.25007,81.6625026,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7291844281,Lotus Hospital & Advance Urology Center,Hospital,RAIPUR,21.2468938,81.6485864,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7291844299,Chand Rani Sardari Lal Speciality EYE And ENT Hospital,Hospital,RAIPUR,21.2463682,81.6546202,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7291844302,Petals Newborn And Children Hospital,Hospital,RAIPUR,21.245081,81.6245086,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7291844307,Shashwat Hospital,Hospital,RAIPUR,21.244077,81.630207,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7291844314,Sagar Multi Speciality Hospital,Hospital,RAIPUR,21.249743,81.667901,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7291844320,Sankalp Hospital,Hospital,RAIPUR,21.2467743,81.5723744,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/10939721749,A.S.M DENTAL CLINIC,Hospital,RAIPUR,21.2371135,81.5978925,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/10939807399,Shreevedam Dental and Aryuvedic Clinic,Hospital,RAIPUR,21.2345837,81.5954368,1.0,0.456000993962221,0.478182608,Medium,0.46487363957733263,Medium
node/7148125120,Government Hospital Uparwara,Hospital,RAIPUR,21.117467,81.764341,1.0,0.456000993962221,0.451953957,Medium,0.4543821791773326,Medium
node/6966522779,Mgm Eye Hospital,Hospital,RAIPUR,21.2783101,81.7026642,1.0,0.456000993962221,0.401228651,Medium,0.4340920567773326,Medium
node/6965834182,Jyoti Hospital and Prasuti Griha,Hospital,RAIPUR,21.5563958,81.8090755,1.0,0.456000993962221,0.39430115,High,0.4313210563773326,Medium
node/6966792004,Evangelical Mission Hospital,Hospital,RAIPUR,21.5540159,81.7903335,1.0,0.456000993962221,0.39430115,High,0.4313210563773326,Medium
node/7148125143,"Government Hospital, Tilda",Hospital,RAIPUR,21.5498742,81.7969593,1.0,0.456000993962221,0.39430115,High,0.4313210563773326,Medium
node/6956627669,Raipur Institute Of Medical Sciences Hospital,Hospital,RAIPUR,21.2419875,81.8368053,1.0,0.456000993962221,0.375,High,0.4236005963773326,Medium
node/7148125239,Government hospital arang,Hospital,RAIPUR,21.1940118,81.9703912,1.0,0.456000993962221,0.375,High,0.4236005963773326,Medium
node/7148125257,Goverment hospital Gobra Nawapara,Hospital,RAIPUR,20.9675515,81.8588705,1.0,0.456000993962221,0.375,High,0.4236005963773326,Medium
