SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Air Temperature Telemetry Hourly (ºC)
5489,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,02-03-2026 11:00,31.3
5490,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,02-03-2026 12:00,32.3
5491,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,02-03-2026 13:00,34.4
5492,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,02-03-2026 14:00,34.4
5493,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,02-03-2026 15:00,33.7
5494,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,02-03-2026 17:00,32.5
5495,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,02-03-2026 19:00,26.1
5496,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,02-03-2026 21:00,23.2
5497,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,03-03-2026 00:00,20.8
5498,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,03-03-2026 01:00,20.8
5499,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,03-03-2026 02:00,20.8
5500,Sakri (Bilaspur),Chhattisgarh SW,22,Chhattisgarh,375,BILASPUR,TAKHATPUR,-,-,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,Mahanadi,22.11555556,82.06750000,03-03-2026 04:00,20.8
5501,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 00:00,15.4
5502,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 01:00,14.2
5503,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 02:00,13.4
5504,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 03:00,13
5505,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 04:00,12.3
5506,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 05:00,12.5
5507,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 06:00,12.3
5508,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 07:00,11.6
5509,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 08:00,14.7
5510,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 09:00,17.7
5511,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 10:00,21.6
5512,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 11:00,24.7
5513,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 12:00,26.3
5514,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 13:00,27.2
5515,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 14:00,28.3
5516,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 15:00,27
5517,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 16:00,25.9
5518,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 17:00,24.2
5519,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 18:00,20.5
5520,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 19:00,19.2
5521,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 20:00,18.3
5522,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 21:00,17.8
5523,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 22:00,17.5
5524,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,01-01-2026 23:00,16.7
5525,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 00:00,15.9
5526,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 01:00,16.2
5527,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 02:00,15.7
5528,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 03:00,14.9
5529,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 05:00,13.7
5530,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 06:00,13.7
5531,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 07:00,13.5
5532,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 08:00,15.5
5533,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 09:00,19
5534,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 11:00,25.3
5535,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 12:00,26.4
5536,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 13:00,27.5
5537,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 14:00,28.1
5538,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 15:00,27.3
5539,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 16:00,26.7
5540,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 17:00,25.1
5541,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 18:00,21.5
5542,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 19:00,20.3
5543,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 20:00,19.6
5544,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 21:00,19.1
5545,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 22:00,18.4
5546,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,02-01-2026 23:00,18.5
5547,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 00:00,17.6
5548,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 01:00,17.8
5549,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 02:00,18.1
5550,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 03:00,16.4
5551,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 04:00,16.6
5552,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 05:00,16.1
5553,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 06:00,16.2
5554,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 07:00,16.3
5555,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 08:00,17.4
5556,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 09:00,19.7
5557,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 10:00,22.1
5558,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 11:00,24.6
5559,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 12:00,26.3
5560,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 13:00,26.7
5561,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 14:00,27.3
5562,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 15:00,27
5563,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 16:00,26.4
5564,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 17:00,24.6
5565,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 18:00,21.7
5566,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 19:00,20.5
5567,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 20:00,20
5568,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 21:00,19.6
5569,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 22:00,18.9
5570,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,03-01-2026 23:00,18.3
5571,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 00:00,18.1
5572,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 01:00,17.9
5573,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 02:00,17.3
5574,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 03:00,17.4
5575,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 04:00,18
5576,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 05:00,17
5577,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 06:00,17
5578,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 07:00,17.1
5579,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 08:00,17.2
5580,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 09:00,18.7
5581,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 10:00,21.4
5582,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 11:00,23.5
5583,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 12:00,25
5584,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 13:00,25.8
5585,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 14:00,26.5
5586,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 15:00,26.6
5587,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 16:00,26.1
5588,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 17:00,24.6
5589,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 18:00,21.8
5590,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 19:00,20.4
5591,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 20:00,19.8
5592,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 21:00,19
5593,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 22:00,18.4
5594,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,04-01-2026 23:00,18
5595,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 00:00,18.5
5596,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 01:00,18.2
5597,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 02:00,17.5
5598,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 03:00,16.7
5599,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 04:00,16.1
5600,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 05:00,15.8
5601,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 06:00,15.2
5602,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 07:00,14.3
5603,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 08:00,15.6
5604,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 09:00,17.9
5605,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 10:00,20.4
5606,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 11:00,22.5
5607,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 12:00,24.5
5608,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 13:00,25.1
5609,Seonath_Singdai,Chhattisgarh SW,22,Chhattisgarh,382,KAWARDHA,Rajnandgaon,-,-,Mahanadi,Mahanadi,Seonath,-,-,Seonath,21.05388889,81.04805556,05-01-2026 14:00,25.4
