facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,pred_outage_prob_7d,pred_human_impact_prob_7d,priority_score_7d,predicted_risk_label_7d
node/6965834166,Dr. Sandeep Bhagwat Orthopedic Hospital,Hospital,RAIPUR,21.2491114,81.6453123,0.4781826078822488,Medium,0.07476747988089621,0.33846917446829106,0.15599290746048902,Low
node/6968263373,Pt.J N M Medical College Hospital,Hospital,RAIPUR,21.251975,81.6391427,0.4781826078822488,Medium,0.07460525351825276,0.33846917446829106,0.15542919297334687,Low
node/6965834176,Eye and Ent Hospital,Hospital,RAIPUR,21.2495993,81.6461378,0.4781826078822488,Medium,0.07447574023635524,0.33846917446829106,0.15537437020605893,Low
node/6957120039,"Upadhyay Hospital, Raipur",Hospital,RAIPUR,21.2625908,81.5873668,0.4781826078822488,Medium,0.07354673419023014,0.33846917446829106,0.15506352876321497,Low
node/7291844299,Chand Rani Sardari Lal Speciality EYE And ENT Hospital,Hospital,RAIPUR,21.2463682,81.6546202,0.4781826078822488,Medium,0.07348841315597117,0.33846917446829106,0.15493699382158788,Low
node/6965495384,"Pragya Hospital, Raipur",Hospital,RAIPUR,21.2443828,81.6601836,0.4781826078822488,Medium,0.07321046664025357,0.33846917446829106,0.15475878331290904,Low
node/6956655140,Shree Sai Care Hospital,Hospital,RAIPUR,21.2398899,81.6698393,0.4781826078822488,Medium,0.07308778118864502,0.33846917446829106,0.15460870643597713,Low
node/7288964602,Madhumeet Hospital,Hospital,RAIPUR,21.2401655,81.6698864,0.4781826078822488,Medium,0.07261075986440617,0.33846917446829106,0.15445536204583554,Low
node/6965497759,Ekta Institute Of Child Health,Hospital,RAIPUR,21.2471211,81.6566214,0.4781826078822488,Medium,0.07228034022378976,0.33846917446829106,0.1542921951933037,Low
node/6965497699,Nigam Ent Hospital,Hospital,RAIPUR,21.2472973,81.6568963,0.4781826078822488,Medium,0.07198015233993756,0.33846917446829106,0.1539557331038041,Low
node/7288964658,Avanti Hospital,Hospital,RAIPUR,21.2408235,81.6696319,0.4781826078822488,Medium,0.0718394219431246,0.33846917446829106,0.15383938724295462,Low
node/6966904930,"Sahu Hospital, Raipur",Hospital,RAIPUR,21.2554704,81.6406797,0.4781826078822488,Medium,0.07164200962293321,0.33846917446829106,0.15372041083763718,Low
node/6966551463,Suprita Hospital,Hospital,RAIPUR,21.2564347,81.6388497,0.4781826078822488,Medium,0.07176193371902186,0.33846917446829106,0.1535782499501175,Low
