facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,pred_outage_prob_24h,pred_human_impact_prob_24h,priority_score_24h,predicted_risk_label_24h
node/6965497734,Roopjeevan Hospital,Hospital,RAIPUR,21.2567003,81.6410096,0.4781826078822488,Medium,0.02089069240183516,0.000161233251985929,0.024820516504795498,Low
node/6965497744,"Jain Hospital, Raipur",Hospital,RAIPUR,21.2559026,81.6448666,0.4781826078822488,Medium,0.020889663059703963,0.000161233251985929,0.02313500438723995,Low
node/6956629976,Vidya Hospital And Kidney Centre,Hospital,RAIPUR,21.2491409,81.6617082,0.4781826078822488,Medium,0.020887504839835175,0.0001612570096052187,0.02240841137419263,Low
node/6965497739,Jubesta Hospital,Hospital,RAIPUR,21.257246,81.6435068,0.4781826078822488,Medium,0.020887363482578664,0.00016119017311329135,0.022388741301021146,Low
node/6956627660,Sai Baba Eye Hospital,Hospital,RAIPUR,21.2595225,81.6370104,0.4781826078822488,Medium,0.02088222626330973,0.00016119017311329135,0.02234296227860805,Low
node/7291844275,Shri Mahaveer Hospital,Hospital,RAIPUR,21.25007,81.6625026,0.4781826078822488,Medium,0.02087577145737612,0.00016119017311329135,0.02215985597094731,Low
node/7148125143,"Government Hospital, Tilda",Hospital,RAIPUR,21.5498742,81.7969593,0.3943011502265597,High,0.020995962231761454,0.0008060115848575051,0.02209076572935509,Low
node/6965836197,M. M. Hospital,Hospital,RAIPUR,21.2605318,81.6367264,0.4781826078822488,Medium,0.02087651087426072,0.00016119017311329135,0.021102102021135723,Low
node/6965497749,Dr. Rajehwari Kulkarni Surgical Hospital And Dia,Hospital,RAIPUR,21.2573909,81.6466855,0.4781826078822488,Medium,0.020874305841461802,0.0001611901732610419,0.020607489670174818,Low
node/6965834182,Jyoti Hospital and Prasuti Griha,Hospital,RAIPUR,21.5563958,81.8090755,0.3943011502265597,High,0.02087343420922508,0.0008105037492122756,0.019835936915149142,Low
node/6965836211,Mishra Speciality Hospital,Hospital,RAIPUR,21.2615844,81.6380407,0.4781826078822488,Medium,0.020867120735794786,0.0001611901732610419,0.019766438417969212,Low
node/6965834177,"Heritage Hospital, Raipur",Hospital,RAIPUR,21.2604399,81.6429824,0.4781826078822488,Medium,0.020867970086378824,0.0001611901732610419,0.019563829588618468,Low
node/4445129008,Vardaan Hospital (Unit Of Jindal Medicare),Hospital,RAIPUR,21.2520112,81.6632415,0.4781826078822488,Medium,0.020865483375813367,0.0001611901732610419,0.018564430841820977,Low
node/7291844314,Sagar Multi Speciality Hospital,Hospital,RAIPUR,21.249743,81.667901,0.4781826078822488,Medium,0.02086538943242403,0.0001611901732610419,0.01812236975383976,Low
node/6956627655,Sai Kalayan Hospital And Icu,Hospital,RAIPUR,21.2499934,81.6684566,0.4781826078822488,Medium,0.020864833658316023,0.00015824063063099564,0.01783010695823756,Low
