facility_id,facility_name,facility_type,district,latitude,longitude,crs,risk_level,flood_risk_prob,water_shortage_risk_prob,power_outage_risk_prob,sanitation_failure_risk_prob,human_impact_risk_prob,flood_risk_label,water_shortage_risk_label,power_outage_risk_label,sanitation_failure_risk_label,human_impact_risk_label,top_risk_type,top_risk_score,alert_flag,alert_level
node/6965836197,M. M. Hospital,Hospital,RAIPUR,21.2605318,81.6367264,0.4781826078822488,Medium,0.9252622095879038,0.014083082995186841,0.022846262134317088,0.9174884760502086,0.00016068292946167225,High,Low,Low,High,Low,flood,0.9252622095879038,True,Critical
node/6965836202,Mahadev Hospital,Hospital,RAIPUR,21.2294448,81.597827,0.4781826078822488,Medium,0.9251885114259825,0.014083082995186841,0.022846239683526736,0.9170560998283802,0.00016068292946167225,High,Low,Low,High,Low,flood,0.9251885114259825,True,Critical
node/6965836211,Mishra Speciality Hospital,Hospital,RAIPUR,21.2615844,81.6380407,0.4781826078822488,Medium,0.9125829699645887,0.014083082995186841,0.022455883864620076,0.9147756634597766,0.00016068292946167225,High,Low,Low,High,Low,sanitation_failure,0.9147756634597766,True,Critical
node/6965836216,Matra Smriti Hospital,Hospital,RAIPUR,21.2686163,81.6197897,0.4781826078822488,Medium,0.8848513934064944,0.014083082995186841,0.022315573960128246,0.9070074697543856,0.00016068292946167225,High,Low,Low,High,Low,sanitation_failure,0.9070074697543856,True,Critical
node/6965836221,M D Hospital and Iccu,Hospital,RAIPUR,21.2465873,81.6236986,0.4781826078822488,Medium,0.8514001913999155,0.014083082995186841,0.02231556137881445,0.90328301614079,0.00016068292946167225,High,Low,Low,High,Low,sanitation_failure,0.90328301614079,True,Critical
node/6966522779,Mgm Eye Hospital,Hospital,RAIPUR,21.2783101,81.7026642,0.4012286510979435,Medium,0.7717635958565641,0.014083082995186841,0.022270803779389187,0.9028439539470826,0.00016068292946167225,High,Low,Low,High,Low,sanitation_failure,0.9028439539470826,True,Critical
node/6966551463,Suprita Hospital,Hospital,RAIPUR,21.2564347,81.6388497,0.4781826078822488,Medium,0.6183236026510439,0.014083082995186841,0.022266624299289647,0.8967765535739041,0.00016068292946167225,Medium,Low,Low,High,Low,sanitation_failure,0.8967765535739041,True,Critical
node/6966792004,Evangelical Mission Hospital,Hospital,RAIPUR,21.5540159,81.7903335,0.3943011502265597,High,0.6056354709898067,0.014083082995186841,0.02215121517489801,0.891575627904464,0.00016068292959384818,Medium,Low,Low,High,Low,sanitation_failure,0.891575627904464,True,Critical
node/6966904907,Shri Manulal Memorial Medical Centre,Hospital,RAIPUR,21.2363311,81.6213289,0.4781826078822488,Medium,0.2310797117872534,0.014083082995186841,0.02201285381329507,0.8865332029242935,0.00016071739401304027,Low,Low,Low,High,Low,sanitation_failure,0.8865332029242935,True,Critical
node/6966792010,Lifeworth Super Speciality Hospital,Hospital,RAIPUR,21.2456986,81.6175885,0.4781826078822488,Medium,0.3645835412004838,0.014083082995186841,0.02212438662211078,0.8864035223726944,0.00016068292959384818,Medium,Low,Low,High,Low,sanitation_failure,0.8864035223726944,True,Critical
node/6966904976,Agrasen Hospital,Hospital,RAIPUR,21.2454224,81.6245992,0.4781826078822488,Medium,0.03302462031901913,0.014083082995186841,0.02163786131847027,0.8625827106113345,0.00016126221287596947,Low,Low,Low,High,Low,sanitation_failure,0.8625827106113345,True,Critical
node/6968263373,Pt.J N M Medical College Hospital,Hospital,RAIPUR,21.251975,81.6391427,0.4781826078822488,Medium,0.03094676587139981,0.014083082995186841,0.021522335574177903,0.8625827106113345,0.00016126221287596947,Low,Low,Low,High,Low,sanitation_failure,0.8625827106113345,True,Critical
node/6966904930,"Sahu Hospital, Raipur",Hospital,RAIPUR,21.2554704,81.6406797,0.4781826078822488,Medium,0.04641365777591372,0.014083082995186841,0.021660302266263434,0.8623984148805633,0.00016071739401304027,Low,Low,Low,High,Low,sanitation_failure,0.8623984148805633,True,Critical
node/6968280740,"Kanwar Hospital, Raipur",Hospital,RAIPUR,21.2532719,81.6651843,0.4781826078822488,Medium,0.01618696135047643,0.014083082995186841,0.021136754359176044,0.8335139932758091,0.00016126221287596947,Low,Low,Low,High,Low,sanitation_failure,0.8335139932758091,True,Critical
node/6968280745,Raipur Hospital,Hospital,RAIPUR,21.2468461,81.6415286,0.4781826078822488,Medium,0.015265568969815698,0.014083082995186841,0.021075873452613237,0.8318979828467774,0.00016126221287596947,Low,Low,Low,High,Low,sanitation_failure,0.8318979828467774,True,Critical
node/6968280774,"Sanjeewan Hospital, Raipur",Hospital,RAIPUR,21.2208074,81.6410136,0.4781826078822488,Medium,0.015257190944955834,0.014083082995186841,0.021060282584433463,0.8211730962554845,0.0001612361841772026,Low,Low,Low,High,Low,sanitation_failure,0.8211730962554845,True,Critical
node/6968280856,Arihant Netralaya,Hospital,RAIPUR,21.2359599,81.6381209,0.4781826078822488,Medium,0.014844551307233953,0.014083082995186841,0.021052849394732717,0.802792131477324,0.0001612361841772026,Low,Low,Low,High,Low,sanitation_failure,0.802792131477324,True,Critical
node/7148125099,Govt. T.B. Hospital,Hospital,RAIPUR,21.2346921,81.6389363,0.4781826078822488,Medium,0.012961391862771171,0.014083082995186841,0.021027820674234584,0.7512792368469956,0.0001612361841772026,Low,Low,Low,High,Low,sanitation_failure,0.7512792368469956,True,High
node/7148125111,Government Hospital Farfoud,Hospital,RAIPUR,21.2743757,81.9506788,0.625,Medium,0.012676769024007079,0.014083082995186841,0.021022402205829308,0.6875039764854062,0.0001612361841772026,Low,Low,Low,High,Low,sanitation_failure,0.6875039764854062,False,Normal
node/7148125120,Government Hospital Uparwara,Hospital,RAIPUR,21.117467,81.764341,0.4519539567843054,Medium,0.012415357624557172,0.014083082995186841,0.02100325541482748,0.6725698666233161,0.0001612361841772026,Low,Low,Low,High,Low,sanitation_failure,0.6725698666233161,False,Normal
node/7148125143,"Government Hospital, Tilda",Hospital,RAIPUR,21.5498742,81.7969593,0.3943011502265597,High,0.012191955923179893,0.014083082995186841,0.020992822042599227,0.6725698666233161,0.0001612361841772026,Low,Low,Low,High,Low,sanitation_failure,0.6725698666233161,False,Normal
node/7148125202,"Government hospital,Khokhopara",Hospital,RAIPUR,21.23239,81.6223248,0.4781826078822488,Medium,0.011846577213130934,0.014083082995186841,0.020992822042599227,0.6670804492367953,0.0001612361841772026,Low,Low,Low,High,Low,sanitation_failure,0.6670804492367953,False,Normal
node/7148125239,Government hospital arang,Hospital,RAIPUR,21.1940118,81.9703912,0.375,High,0.010874523608716477,0.014083082995186841,0.020992815960488284,0.5910254019637221,0.0001612361841772026,Low,Low,Low,Medium,Low,sanitation_failure,0.5910254019637221,False,Normal
node/7148125255,District Hospital Raipur,Hospital,RAIPUR,21.2317387,81.6401796,0.4781826078822488,Medium,0.010856925657091898,0.014083082995186841,0.020992815960488284,0.5862826123091377,0.0001612361841772026,Low,Low,Low,Medium,Low,sanitation_failure,0.5862826123091377,False,Normal
